#id, rx, ry, rz, epsl1, epsl2, V, x, y, z, qw, qx, qy, qz, lx, ly, lz
6             0.000236282  0.000236282  0.000168773          0.6          1.4  3.48989e-11    0.0163081    0.0143525    0.0141533    -0.291117     0.940724    -0.124727     0.121378    0.0101376    0.0100886    0.0101142
7              0.00031697   0.00031697  0.000226407          0.6          1.4  8.42505e-11    0.0119613    0.0162598     0.014762    0.0258218     0.345681     0.629534    -0.695359    0.0101376    0.0100886    0.0101142
8             0.000109897  0.000109897  7.84981e-05          0.6          1.4  3.51141e-12    0.0195063    0.0190113     0.013481     0.384607     0.301284     0.258119    -0.833475    0.0101376    0.0100886    0.0101142
9               0.0002139    0.0002139  0.000152786          0.6          1.4  2.58913e-11    0.0195154    0.0146916    0.0197528    -0.703556    -0.471077    -0.321878     0.423664    0.0101376    0.0100886    0.0101142
10             0.00018354   0.00018354    0.0001311          0.6          1.4  1.63572e-11    0.0157581    0.0139425    0.0136679    -0.293358     0.689778     0.445269    -0.489778    0.0101376    0.0100886    0.0101142
11             0.00017292   0.00017292  0.000123514          0.6          1.4   1.3679e-11    0.0120363    0.0101055    0.0170261     0.147161     0.613204    -0.275868     0.725411    0.0101376    0.0100886    0.0101142
12            0.000191249  0.000191249  0.000136606          0.6          1.4  1.85062e-11    0.0151439    0.0120001    0.0181233    -0.543235     -0.53436    -0.212713    -0.611644    0.0101376    0.0100886    0.0101142
13            0.000222336  0.000222336  0.000158812          0.6          1.4  2.90771e-11    0.0167642    0.0118704    0.0166729    -0.601183     0.607161    -0.146006     0.498615    0.0101376    0.0100886    0.0101142
14            0.000232329  0.000232329  0.000165949          0.6          1.4  3.31766e-11    0.0179382    0.0101392    0.0182163     0.540424    -0.194741     0.757087     0.311188    0.0101376    0.0100886    0.0101142
15            0.000263838  0.000263838  0.000188455          0.6          1.4  4.85882e-11    0.0106068    0.0198503    0.0192626    -0.248556   -0.0285093     0.546888      0.79895    0.0101376    0.0100886    0.0101142
16            0.000236706  0.000236706  0.000169076          0.6          1.4  3.50871e-11     0.010599    0.0160519    0.0158853    -0.591514   -0.0769139    -0.429385     0.678103    0.0101376    0.0100886    0.0101142
